date_ob,ob
10/20/2017,7.775
10/21/2017,8.35
10/22/2017,10.33
10/23/2017,9.51
10/24/2017,8.37
10/25/2017,7.022
10/26/2017,7.549
10/27/2017,6.307
10/28/2017,4.409
10/29/2017,3.899
10/30/2017,4.105
10/31/2017,3.356
11/1/2017,2.812
11/2/2017,2.294
11/3/2017,2.293
11/4/2017,1.79
11/5/2017,1.66
11/6/2017,1.844
11/7/2017,0.963
11/8/2017,0.286
11/9/2017,-0.017
11/10/2017,-0.267
11/11/2017,-0.656
11/12/2017,-0.652
11/13/2017,-0.49
11/14/2017,-0.6
11/15/2017,-0.559
11/16/2017,-0.611
11/17/2017,-0.826
11/18/2017,-0.827
11/19/2017,-1.503
11/20/2017,-1.794
11/21/2017,-1.458
11/22/2017,-1.436
11/23/2017,-1.93
11/24/2017,-1.445
11/25/2017,-0.722
11/26/2017,-1.61
11/27/2017,-1.893
11/28/2017,-1.452
11/29/2017,-1.067
11/30/2017,-1.679
12/1/2017,-0.927
12/2/2017,-1.13
12/3/2017,-1.568
12/4/2017,-1.543
12/5/2017,-1.694
12/6/2017,-4.018
12/7/2017,-5.538
12/8/2017,-5.094
12/9/2017,-3.534
12/10/2017,-3.235
12/11/2017,-3.063
12/12/2017,-2.686
12/13/2017,-2.931
12/14/2017,-2.567
12/15/2017,-2.797
12/16/2017,-2.713
12/17/2017,-2.796
12/18/2017,-2.951
12/19/2017,-2.371
12/20/2017,-2.449
12/21/2017,-3.977
12/22/2017,-5.025
12/23/2017,-4.628
12/24/2017,-4.715
12/25/2017,-6.367
12/26/2017,-7.98
12/27/2017,-9.04
12/28/2017,-9.63
12/29/2017,-8.97
12/30/2017,-9.78
12/31/2017,-11.15
